protocol_context,graph_mode,graph_instance_id,repeat_id,probe_edge,scenario_id,victim_request_count_used,victim_edges_used
direct_coherent_dynamic_graph,global_only_control,graph_0029,0,module_3--module_4,direct_coherent_remote_cx__share_interconnect_stack,60,module_1--module_2|module_1--module_3|module_2--module_3|module_2--module_4
direct_coherent_dynamic_graph,global_only_control,graph_0029,1,module_1--module_2,direct_coherent_remote_cx__share_interconnect_stack,56,module_1--module_2|module_1--module_3|module_2--module_3|module_2--module_4
direct_coherent_dynamic_graph,global_only_control,graph_0029,1,module_1--module_3,direct_coherent_remote_cx__share_interconnect_stack,56,module_1--module_2|module_1--module_3|module_2--module_3|module_2--module_4
direct_coherent_dynamic_graph,global_only_control,graph_0029,1,module_1--module_4,direct_coherent_remote_cx__share_interconnect_stack,56,module_1--module_2|module_1--module_3|module_2--module_3|module_2--module_4
direct_coherent_dynamic_graph,global_only_control,graph_0029,1,module_2--module_3,direct_coherent_remote_cx__share_interconnect_stack,56,module_1--module_2|module_1--module_3|module_2--module_3|module_2--module_4
direct_coherent_dynamic_graph,global_only_control,graph_0029,1,module_2--module_4,direct_coherent_remote_cx__share_interconnect_stack,56,module_1--module_2|module_1--module_3|module_2--module_3|module_2--module_4
direct_coherent_dynamic_graph,global_only_control,graph_0029,1,module_3--module_4,direct_coherent_remote_cx__share_interconnect_stack,56,module_1--module_2|module_1--module_3|module_2--module_3|module_2--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0000,0,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0000,0,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0000,0,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0000,0,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0000,0,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,31,module_2--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0000,0,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,11,module_3--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0000,1,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0000,1,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0000,1,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0000,1,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0000,1,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,32,module_2--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0000,1,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,11,module_3--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0001,0,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0001,0,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,24,module_1--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0001,0,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0001,0,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0001,0,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,14,module_2--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0001,0,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,6,module_3--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0001,1,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0001,1,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,21,module_1--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0001,1,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0001,1,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0001,1,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,15,module_2--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0001,1,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,7,module_3--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0002,0,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,5,module_1--module_2
entanglement_assisted_dynamic_graph,edge_localized,graph_0002,0,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,11,module_1--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0002,0,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,15,module_1--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0002,0,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0002,0,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,15,module_2--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0002,0,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0002,1,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,5,module_1--module_2
entanglement_assisted_dynamic_graph,edge_localized,graph_0002,1,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,11,module_1--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0002,1,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,14,module_1--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0002,1,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0002,1,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,24,module_2--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0002,1,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0003,0,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0003,0,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0003,0,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,25,module_1--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0003,0,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0003,0,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0003,0,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,16,module_3--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0003,1,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0003,1,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0003,1,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,24,module_1--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0003,1,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0003,1,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0003,1,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,15,module_3--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0004,0,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,18,module_1--module_2
entanglement_assisted_dynamic_graph,edge_localized,graph_0004,0,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,12,module_1--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0004,0,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,12,module_1--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0004,0,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0004,0,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0004,0,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0004,1,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,17,module_1--module_2
entanglement_assisted_dynamic_graph,edge_localized,graph_0004,1,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,12,module_1--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0004,1,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,10,module_1--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0004,1,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0004,1,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0004,1,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0005,0,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0005,0,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,6,module_1--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0005,0,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,10,module_1--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0005,0,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,12,module_2--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0005,0,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0005,0,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,16,module_3--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0005,1,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0005,1,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,6,module_1--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0005,1,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,9,module_1--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0005,1,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,13,module_2--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0005,1,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0005,1,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,16,module_3--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0006,0,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,30,module_1--module_2
entanglement_assisted_dynamic_graph,edge_localized,graph_0006,0,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,12,module_1--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0006,0,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0006,0,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0006,0,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0006,0,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0006,1,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,30,module_1--module_2
entanglement_assisted_dynamic_graph,edge_localized,graph_0006,1,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,13,module_1--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0006,1,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0006,1,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0006,1,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0006,1,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0007,0,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0007,0,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,15,module_1--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0007,0,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0007,0,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,18,module_2--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0007,0,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,8,module_2--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0007,0,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0007,1,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0007,1,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,25,module_1--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0007,1,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0007,1,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,20,module_2--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0007,1,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,9,module_2--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0007,1,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0008,0,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,20,module_1--module_2
entanglement_assisted_dynamic_graph,edge_localized,graph_0008,0,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,12,module_1--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0008,0,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0008,0,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0008,0,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,14,module_2--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0008,0,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,5,module_3--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0008,1,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,25,module_1--module_2
entanglement_assisted_dynamic_graph,edge_localized,graph_0008,1,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,19,module_1--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0008,1,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0008,1,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0008,1,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,15,module_2--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0008,1,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,5,module_3--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0009,0,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0009,0,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,21,module_1--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0009,0,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0009,0,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0009,0,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,19,module_2--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0009,0,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0009,1,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0009,1,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,18,module_1--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0009,1,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0009,1,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0009,1,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,19,module_2--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0009,1,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0010,0,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0010,0,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0010,0,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,8,module_1--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0010,0,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,15,module_2--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0010,0,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0010,0,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,13,module_3--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0010,1,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0010,1,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0010,1,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,8,module_1--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0010,1,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,25,module_2--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0010,1,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0010,1,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,11,module_3--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0011,0,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0011,0,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,25,module_1--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0011,0,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0011,0,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,12,module_2--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0011,0,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,6,module_2--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0011,0,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,13,module_3--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0011,1,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0011,1,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,20,module_1--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0011,1,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0011,1,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,12,module_2--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0011,1,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,7,module_2--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0011,1,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,12,module_3--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0012,0,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0012,0,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0012,0,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,12,module_1--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0012,0,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,21,module_2--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0012,0,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0012,0,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0012,1,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0012,1,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0012,1,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,12,module_1--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0012,1,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,35,module_2--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0012,1,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0012,1,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0013,0,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0013,0,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,17,module_1--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0013,0,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,12,module_1--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0013,0,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,14,module_2--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0013,0,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0013,0,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0013,1,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0013,1,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,19,module_1--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0013,1,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,12,module_1--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0013,1,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,20,module_2--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0013,1,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0013,1,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0014,0,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,9,module_1--module_2
entanglement_assisted_dynamic_graph,edge_localized,graph_0014,0,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0014,0,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,12,module_1--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0014,0,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,13,module_2--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0014,0,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,6,module_2--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0014,0,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0014,1,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,9,module_1--module_2
entanglement_assisted_dynamic_graph,edge_localized,graph_0014,1,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0014,1,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,20,module_1--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0014,1,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,14,module_2--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0014,1,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,6,module_2--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0014,1,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0015,0,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,7,module_1--module_2
entanglement_assisted_dynamic_graph,edge_localized,graph_0015,0,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0015,0,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0015,0,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0015,0,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0015,0,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,25,module_3--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0015,1,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,7,module_1--module_2
entanglement_assisted_dynamic_graph,edge_localized,graph_0015,1,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0015,1,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0015,1,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0015,1,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0015,1,module_3--module_4,entanglement_assisted_remote_cx__all_used_shared,15,module_3--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0016,0,module_1--module_2,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0016,0,module_1--module_3,entanglement_assisted_remote_cx__all_used_shared,22,module_1--module_3
entanglement_assisted_dynamic_graph,edge_localized,graph_0016,0,module_1--module_4,entanglement_assisted_remote_cx__all_used_shared,15,module_1--module_4
entanglement_assisted_dynamic_graph,edge_localized,graph_0016,0,module_2--module_3,entanglement_assisted_remote_cx__all_used_shared,0,
entanglement_assisted_dynamic_graph,edge_localized,graph_0016,0,module_2--module_4,entanglement_assisted_remote_cx__all_used_shared,0,
